brand,model,make year,reg year,km driven,price,transmission,fuel type,engine capacity(CC),ownership,reg number,has insurance,spare key,title,overall cost
Renault,Triber,2015,2015,102200,110000,Automatic,Petrol,1200,Third Owner,TS02C3176,Yes,No,Renault Triber 2015,5500
Tata,Safari,2014,2014,54880,120000,Manual,Petrol,1200,Second Owner,PB18D4008,Yes,Yes,Tata Safari 2014,6000
Tata,Punch,2019,2019,86979,195000,Manual,Petrol,1200,Second Owner,UP04A8423,Yes,Yes,Tata Punch 2019,9750
Kia,Carnival,2012,2012,139113,160000,Automatic,CNG,2200,Second Owner,TN10D2422,Yes,Yes,Kia Carnival 2012,8000
Honda,Accord,2023,2023,4161,550000,Automatic,Petrol,1600,First Owner,RJ10D1289,No,Yes,Honda Accord 2023,27500
Ford,Freestyle,2014,2014,162895,125000,Manual,Petrol,1200,Second Owner,AP10D7534,Yes,Yes,Ford Freestyle 2014,6250
Honda,CR-V,2013,2013,206536,130000,Manual,Diesel,1200,Third Owner,AP16C1205,Yes,Yes,Honda CR-V 2013,6500
Tata,Punch,2017,2017,111968,180000,Automatic,Petrol,1600,Second Owner,HR02C9712,Yes,No,Tata Punch 2017,9000
Maruti,Baleno,2013,2013,101274,90000,Manual,Diesel,800,Second Owner,TN17A8361,Yes,No,Maruti Baleno 2013,4500
Maruti,Ertiga,2016,2016,100283,115000,Manual,Petrol,800,Second Owner,TN03A8742,No,No,Maruti Ertiga 2016,5750
Maruti,Swift,2012,2012,206218,85000,Manual,Diesel,1000,First Owner,HR01B5769,Yes,Yes,Maruti Swift 2012,4250
Honda,CR-V,2018,2018,157752,225000,Manual,Diesel,1200,Second Owner,KA19D4663,Yes,No,Honda CR-V 2018,11250
Tata,Safari,2016,2016,140024,140000,Automatic,Petrol,1200,Second Owner,KA18D5690,Yes,Yes,Tata Safari 2016,7000
Maruti,Swift,2021,2021,26451,275000,Manual,Electric,1200,First Owner,WB14A7261,Yes,Yes,Maruti Swift 2021,13750
Volkswagen,Tiguan,2015,2015,101893,195000,Manual,Electric,2200,Third Owner,GJ15C7358,Yes,No,Volkswagen Tiguan 2015,9750
Renault,Duster,2019,2019,81506,220000,Automatic,Petrol,1000,First Owner,AP18B4802,Yes,Yes,Renault Duster 2019,11000
Hyundai,i20,2012,2012,103043,100000,Manual,Petrol,1400,Second Owner,PB15B7163,Yes,Yes,Hyundai i20 2012,5000
Tata,Harrier,2011,2011,239703,85000,Manual,Diesel,1600,Second Owner,MH04A3642,Yes,Yes,Tata Harrier 2011,4250
Mahindra,Thar,2014,2014,142558,170000,Manual,Petrol,2000,Second Owner,TN07A8304,Yes,No,Mahindra Thar 2014,8500
Kia,Sonet,2015,2015,84719,230000,Manual,Diesel,2200,Third Owner,TN09C9089,No,Yes,Kia Sonet 2015,11500
Volkswagen,Vento,2011,2011,141150,105000,Manual,Petrol,1800,Third Owner,DL14A3346,Yes,Yes,Volkswagen Vento 2011,5250
Honda,CR-V,2019,2019,118465,360000,Automatic,Diesel,1400,Second Owner,KA04C2993,Yes,Yes,Honda CR-V 2019,18000
Renault,Triber,2023,2023,28420,365000,Automatic,Petrol,1000,First Owner,DL05A2873,No,Yes,Renault Triber 2023,18250
Mahindra,Scorpio,2017,2017,155927,300000,Automatic,Petrol,1800,Second Owner,PB13D9326,Yes,Yes,Mahindra Scorpio 2017,15000
Maruti,Ertiga,2012,2012,241868,80000,Automatic,Petrol,800,Second Owner,DL10D3068,No,No,Maruti Ertiga 2012,4000
Honda,Jazz,2013,2013,90039,150000,Manual,Diesel,1600,Second Owner,HR13C3591,No,No,Honda Jazz 2013,7500
Maruti,Alto,2019,2019,62227,200000,Automatic,Petrol,1200,Second Owner,AP10C7219,No,No,Maruti Alto 2019,10000
Mahindra,XUV500,2022,2022,2811,625000,Automatic,Petrol,2500,First Owner,DL08A5545,Yes,No,Mahindra XUV500 2022,31250
Mahindra,XUV500,2023,2023,23876,635000,Manual,Diesel,2000,First Owner,HR11B3294,Yes,Yes,Mahindra XUV500 2023,31750
Renault,Triber,2022,2022,51461,265000,Manual,Diesel,800,First Owner,DL18B6618,Yes,Yes,Renault Triber 2022,13250
Maruti,Vitara Brezza,2022,2022,23215,285000,Manual,Petrol,1000,First Owner,KA07B1816,No,No,Maruti Vitara Brezza 2022,14250
Volkswagen,Tiguan,2022,2022,46131,535000,Automatic,Petrol,2200,First Owner,WB09D4904,Yes,No,Volkswagen Tiguan 2022,26750
Honda,CR-V,2018,2018,128846,260000,Automatic,CNG,1500,First Owner,AP14B3104,No,No,Honda CR-V 2018,13000
Renault,Captur,2018,2018,104900,165000,Automatic,Petrol,800,Second Owner,TS15D7079,No,Yes,Renault Captur 2018,8250
Honda,CR-V,2023,2023,18082,490000,Manual,Petrol,1400,First Owner,PB11B1670,No,No,Honda CR-V 2023,24500
Volkswagen,Passat,2017,2017,130887,290000,Automatic,Diesel,2500,Second Owner,DL03A6330,Yes,No,Volkswagen Passat 2017,14500
Volkswagen,Tiguan,2021,2021,28653,530000,Automatic,Diesel,2500,Second Owner,TN10A6876,Yes,Yes,Volkswagen Tiguan 2021,26500
Mahindra,Thar,2018,2018,59336,415000,Automatic,Diesel,2000,Second Owner,DL02B7539,Yes,Yes,Mahindra Thar 2018,20750
Maruti,Dzire,2015,2015,210182,100000,Manual,Petrol,1200,Second Owner,WB14A1922,Yes,Yes,Maruti Dzire 2015,5000
Tata,Punch,2016,2016,80994,140000,Manual,Petrol,1600,Second Owner,AP03C3875,Yes,No,Tata Punch 2016,7000
Renault,Triber,2017,2017,116002,170000,Automatic,Diesel,800,Second Owner,TS06D9490,No,No,Renault Triber 2017,8500
Honda,Civic,2020,2020,38445,410000,Automatic,CNG,1600,First Owner,WB16A3850,Yes,Yes,Honda Civic 2020,20500
Maruti,Baleno,2016,2016,127380,140000,Automatic,Petrol,1200,Second Owner,KA04A6660,No,Yes,Maruti Baleno 2016,7000
Volkswagen,Passat,2012,2012,144442,140000,Manual,Diesel,2000,Second Owner,KA12B6232,Yes,No,Volkswagen Passat 2012,7000
Hyundai,Creta,2016,2016,118535,205000,Automatic,Diesel,1500,Second Owner,HR19A7982,Yes,Yes,Hyundai Creta 2016,10250
Mahindra,Scorpio,2010,2010,161603,125000,Manual,Petrol,2500,First Owner,WB08B5627,No,Yes,Mahindra Scorpio 2010,6250
Hyundai,Venue,2010,2010,202157,75000,Manual,Petrol,1400,Second Owner,TN08A8129,Yes,No,Hyundai Venue 2010,3750
Ford,Freestyle,2020,2020,57730,410000,Automatic,Electric,1200,First Owner,KA05B1464,Yes,No,Ford Freestyle 2020,20500
Toyota,Corolla,2023,2023,18886,765000,Manual,Diesel,2200,First Owner,KA14C7065,Yes,Yes,Toyota Corolla 2023,38250
Hyundai,Santro,2017,2017,39215,195000,Manual,Diesel,1600,Second Owner,RJ10C8587,Yes,Yes,Hyundai Santro 2017,9750
Mahindra,XUV300,2011,2011,215445,110000,Manual,Petrol,2200,Third Owner,PB14D8357,Yes,Yes,Mahindra XUV300 2011,5500
Renault,Triber,2021,2021,37591,280000,Manual,Electric,800,First Owner,GJ10A7327,Yes,Yes,Renault Triber 2021,14000
Hyundai,Creta,2021,2021,57556,290000,Manual,Petrol,1500,Second Owner,UP08D8124,Yes,No,Hyundai Creta 2021,14500
Mahindra,Thar,2021,2021,61390,515000,Manual,Diesel,2000,First Owner,RJ13A3032,Yes,Yes,Mahindra Thar 2021,25750
Kia,Sonet,2015,2015,124241,250000,Automatic,Petrol,1800,First Owner,RJ03D2666,Yes,No,Kia Sonet 2015,12500
Mahindra,Marazzo,2018,2018,68600,285000,Manual,Petrol,2000,Second Owner,AP09C5820,No,Yes,Mahindra Marazzo 2018,14250
Kia,Sonet,2010,2010,264685,120000,Manual,Diesel,2000,First Owner,RJ08B6850,Yes,Yes,Kia Sonet 2010,6000
Kia,Carnival,2020,2020,79837,380000,Manual,Petrol,2200,Second Owner,GJ13D1497,Yes,No,Kia Carnival 2020,19000
Toyota,Corolla,2014,2014,135745,175000,Manual,CNG,2200,Second Owner,AP01A3696,No,Yes,Toyota Corolla 2014,8750
Hyundai,i20,2021,2021,40530,345000,Manual,Electric,1200,Second Owner,PB08B8850,Yes,Yes,Hyundai i20 2021,17250
Toyota,Camry,2017,2017,93725,315000,Manual,Diesel,2000,Second Owner,RJ09A5322,Yes,Yes,Toyota Camry 2017,15750
Hyundai,Elantra,2017,2017,93354,190000,Automatic,Petrol,1200,Second Owner,TS05C8411,No,Yes,Hyundai Elantra 2017,9500
Kia,Seltos,2013,2013,176321,220000,Manual,Electric,2500,Second Owner,KA14D5891,Yes,Yes,Kia Seltos 2013,11000
Renault,Duster,2013,2013,118875,110000,Manual,Diesel,1200,First Owner,UP02C2273,Yes,Yes,Renault Duster 2013,5500
Tata,Altroz,2012,2012,115393,85000,Automatic,Petrol,1400,Third Owner,TN16C7511,Yes,Yes,Tata Altroz 2012,4250
Kia,Seltos,2018,2018,91617,390000,Automatic,Diesel,1800,First Owner,HR14D1974,Yes,Yes,Kia Seltos 2018,19500
Toyota,Corolla,2010,2010,181302,125000,Manual,Diesel,1800,Second Owner,KA08B5440,No,Yes,Toyota Corolla 2010,6250
Toyota,Fortuner,2022,2022,30289,655000,Automatic,Petrol,2200,First Owner,MH01D3866,Yes,Yes,Toyota Fortuner 2022,32750
Kia,Seltos,2020,2020,75804,585000,Automatic,Electric,1800,First Owner,HR15B7686,Yes,No,Kia Seltos 2020,29250
Renault,Lodgy,2010,2010,201425,70000,Automatic,Diesel,1000,First Owner,KA13D7845,No,Yes,Renault Lodgy 2010,3500
Maruti,Dzire,2010,2010,220628,45000,Manual,Petrol,1200,Third Owner,TS13A3462,Yes,No,Maruti Dzire 2010,2250
Mahindra,Scorpio,2010,2010,283044,100000,Manual,Petrol,2200,First Owner,MH18D7928,No,No,Mahindra Scorpio 2010,5000
Ford,Aspire,2020,2020,60625,310000,Manual,Diesel,1500,First Owner,WB08D7524,Yes,Yes,Ford Aspire 2020,15500
Tata,Tiago,2015,2015,172726,125000,Manual,Petrol,1600,Second Owner,WB16B5524,Yes,Yes,Tata Tiago 2015,6250
Honda,CR-V,2017,2017,152249,215000,Manual,Diesel,1200,First Owner,WB19C2001,Yes,Yes,Honda CR-V 2017,10750
Mahindra,Scorpio,2011,2011,136040,120000,Manual,CNG,2500,Second Owner,TS14D4075,No,Yes,Mahindra Scorpio 2011,6000
Renault,Duster,2018,2018,94019,180000,Manual,Diesel,1200,Second Owner,TN04A1808,Yes,No,Renault Duster 2018,9000
Honda,CR-V,2010,2010,258428,80000,Manual,Diesel,1500,Third Owner,WB14A2814,Yes,No,Honda CR-V 2010,4000
Tata,Punch,2023,2023,22064,415000,Manual,Diesel,1600,First Owner,UP14B7782,Yes,No,Tata Punch 2023,20750
Hyundai,Grand i10,2012,2012,186530,95000,Automatic,Petrol,1400,Second Owner,MH12A7197,Yes,Yes,Hyundai Grand i10 2012,4750
Honda,Civic,2020,2020,56507,325000,Manual,Petrol,1600,Second Owner,WB13D6877,Yes,Yes,Honda Civic 2020,16250
Renault,Captur,2021,2021,27864,220000,Manual,Petrol,1200,Second Owner,AP16D3843,Yes,No,Renault Captur 2021,11000
Ford,Figo,2016,2016,104318,205000,Automatic,Petrol,1200,Second Owner,TN19A5713,Yes,Yes,Ford Figo 2016,10250
Tata,Nexon,2015,2015,69532,175000,Automatic,Petrol,1600,First Owner,KA02A2909,Yes,No,Tata Nexon 2015,8750
Tata,Nexon,2016,2016,114977,160000,Automatic,Diesel,1600,Second Owner,TN18B7781,Yes,Yes,Tata Nexon 2016,8000
Hyundai,Venue,2019,2019,63136,290000,Automatic,Diesel,1600,Second Owner,UP19C1287,Yes,Yes,Hyundai Venue 2019,14500
Renault,Kwid,2023,2023,21634,315000,Manual,Petrol,800,First Owner,MH12C8392,Yes,Yes,Renault Kwid 2023,15750
Toyota,Fortuner,2016,2016,127127,315000,Manual,Petrol,2500,First Owner,PB13C1011,Yes,No,Toyota Fortuner 2016,15750
Maruti,Alto,2021,2021,58661,240000,Manual,Diesel,800,First Owner,AP16A8701,Yes,No,Maruti Alto 2021,12000
Hyundai,Grand i10,2018,2018,80814,210000,Manual,Diesel,1600,Second Owner,TN07D5673,Yes,Yes,Hyundai Grand i10 2018,10500
Hyundai,Elantra,2018,2018,93861,180000,Manual,Petrol,1200,Second Owner,AP18D4981,No,No,Hyundai Elantra 2018,9000
Mahindra,XUV300,2022,2022,29458,645000,Automatic,Diesel,2500,First Owner,TN18B9386,Yes,No,Mahindra XUV300 2022,32250
Toyota,Urban Cruiser,2014,2014,194028,210000,Manual,Diesel,2200,Third Owner,GJ14A4629,Yes,Yes,Toyota Urban Cruiser 2014,10500
Hyundai,Venue,2022,2022,43373,445000,Automatic,Petrol,1600,First Owner,KA17D6229,Yes,Yes,Hyundai Venue 2022,22250
Tata,Harrier,2014,2014,94235,105000,Manual,Diesel,1200,Third Owner,PB08C9832,Yes,Yes,Tata Harrier 2014,5250
Mahindra,Thar,2022,2022,39802,560000,Manual,Petrol,2200,First Owner,TN06D3076,Yes,Yes,Mahindra Thar 2022,28000
Toyota,Glanza,2021,2021,70919,480000,Automatic,Petrol,1800,Third Owner,PB13C9844,Yes,No,Toyota Glanza 2021,24000
Toyota,Camry,2015,2015,86817,260000,Automatic,Petrol,2500,Second Owner,PB13D5232,Yes,Yes,Toyota Camry 2015,13000
Ford,Aspire,2019,2019,80226,300000,Manual,Diesel,1400,First Owner,TS17B2243,No,No,Ford Aspire 2019,15000
Mahindra,Thar,2016,2016,58085,270000,Automatic,Petrol,2000,Third Owner,AP14A1599,No,No,Mahindra Thar 2016,13500
Mahindra,XUV500,2013,2013,105836,155000,Manual,Petrol,1800,Second Owner,UP13C4569,Yes,No,Mahindra XUV500 2013,7750
Mahindra,Bolero,2012,2012,152330,145000,Manual,Petrol,2200,Second Owner,RJ19B1506,Yes,Yes,Mahindra Bolero 2012,7250
Mahindra,XUV500,2019,2019,58464,310000,Manual,Petrol,1800,Second Owner,MH06C9864,Yes,Yes,Mahindra XUV500 2019,15500
Maruti,Baleno,2020,2020,43613,210000,Manual,CNG,1200,Second Owner,RJ19D9947,Yes,Yes,Maruti Baleno 2020,10500
Hyundai,Verna,2021,2021,55609,365000,Manual,Diesel,1500,First Owner,HR16C4715,Yes,Yes,Hyundai Verna 2021,18250
Tata,Altroz,2019,2019,76197,285000,Manual,Electric,1200,First Owner,TS06D3645,Yes,Yes,Tata Altroz 2019,14250
Volkswagen,Vento,2010,2010,201475,115000,Manual,Electric,2000,First Owner,GJ01C2725,Yes,No,Volkswagen Vento 2010,5750
Mahindra,Scorpio,2012,2012,139996,165000,Manual,Petrol,2000,First Owner,HR11D7748,Yes,Yes,Mahindra Scorpio 2012,8250
Kia,Seltos,2016,2016,61956,320000,Automatic,Petrol,2500,Second Owner,KA17A5524,No,No,Kia Seltos 2016,16000
Toyota,Glanza,2019,2019,23470,435000,Manual,Petrol,2200,First Owner,WB15C6515,Yes,Yes,Toyota Glanza 2019,21750
Renault,Duster,2013,2013,132828,100000,Manual,Diesel,1200,Second Owner,UP14A2016,No,No,Renault Duster 2013,5000
Mahindra,XUV500,2014,2014,42879,200000,Manual,Petrol,2500,First Owner,WB17D2689,No,No,Mahindra XUV500 2014,10000
Ford,Aspire,2015,2015,133421,175000,Automatic,Petrol,1400,Second Owner,PB19D5206,Yes,No,Ford Aspire 2015,8750
Tata,Tigor,2018,2018,130170,190000,Manual,Petrol,1600,First Owner,TN18C3897,Yes,Yes,Tata Tigor 2018,9500
Hyundai,Elantra,2018,2018,113849,170000,Manual,CNG,1500,Second Owner,WB09A5658,No,No,Hyundai Elantra 2018,8500
Honda,Amaze,2021,2021,47130,425000,Manual,Diesel,1500,First Owner,DL05B6730,Yes,Yes,Honda Amaze 2021,21250
Ford,Endeavour,2015,2015,123878,155000,Manual,Petrol,1500,First Owner,GJ08A7040,Yes,Yes,Ford Endeavour 2015,7750
Ford,Aspire,2020,2020,18109,280000,Manual,Petrol,1500,Second Owner,GJ13D6585,Yes,No,Ford Aspire 2020,14000
Ford,Figo,2013,2013,100093,110000,Manual,Diesel,1200,Third Owner,DL05B7772,Yes,No,Ford Figo 2013,5500
Kia,Sonet,2018,2018,32316,350000,Manual,Petrol,2000,First Owner,KA03A6650,Yes,Yes,Kia Sonet 2018,17500
Honda,CR-V,2010,2010,199116,80000,Manual,Diesel,1200,Third Owner,UP16B6618,Yes,Yes,Honda CR-V 2010,4000
Renault,Duster,2011,2011,273816,65000,Manual,Diesel,800,First Owner,GJ10B7899,Yes,Yes,Renault Duster 2011,3250
Tata,Punch,2017,2017,133208,170000,Manual,Petrol,1600,Second Owner,AP05D7222,Yes,No,Tata Punch 2017,8500
Kia,Seltos,2019,2019,60880,380000,Manual,Petrol,2200,Second Owner,AP11C8465,No,Yes,Kia Seltos 2019,19000
Kia,Seltos,2013,2013,241258,180000,Manual,Electric,2500,Second Owner,GJ14B1178,No,Yes,Kia Seltos 2013,9000
Tata,Safari,2016,2016,117643,135000,Manual,Diesel,1200,Third Owner,KA03B3933,Yes,No,Tata Safari 2016,6750
Honda,CR-V,2023,2023,25254,520000,Automatic,Petrol,1600,First Owner,DL19B6731,Yes,Yes,Honda CR-V 2023,26000
Mahindra,Thar,2017,2017,98019,305000,Automatic,Petrol,2200,Third Owner,PB10B7691,Yes,No,Mahindra Thar 2017,15250
Volkswagen,Tiguan,2010,2010,115209,95000,Manual,Petrol,2200,Third Owner,TS14C8769,Yes,No,Volkswagen Tiguan 2010,4750
Renault,Triber,2013,2013,185951,85000,Manual,Diesel,1200,Third Owner,RJ04C1378,Yes,Yes,Renault Triber 2013,4250
Maruti,Wagon R,2015,2015,146457,120000,Manual,Diesel,800,Second Owner,DL03D2412,No,No,Maruti Wagon R 2015,6000
Honda,WR-V,2023,2023,39032,470000,Manual,Petrol,1500,First Owner,MH18B5813,Yes,Yes,Honda WR-V 2023,23500
Hyundai,Verna,2016,2016,70827,165000,Automatic,Petrol,1500,Third Owner,TN17A9737,Yes,Yes,Hyundai Verna 2016,8250
Hyundai,Grand i10,2015,2015,99362,120000,Manual,Petrol,1600,Third Owner,TS02A5435,Yes,No,Hyundai Grand i10 2015,6000
Hyundai,Grand i10,2010,2010,151379,80000,Manual,Diesel,1500,Second Owner,TS17C7468,Yes,Yes,Hyundai Grand i10 2010,4000
Toyota,Innova,2014,2014,177024,205000,Manual,Petrol,2000,First Owner,DL18C8104,Yes,No,Toyota Innova 2014,10250
Hyundai,Creta,2020,2020,82325,245000,Manual,Petrol,1400,Third Owner,MH18B5567,Yes,Yes,Hyundai Creta 2020,12250
Maruti,Vitara Brezza,2020,2020,72279,285000,Automatic,Diesel,1200,First Owner,MH04C3118,Yes,No,Maruti Vitara Brezza 2020,14250
Mahindra,Scorpio,2010,2010,170166,115000,Manual,Diesel,2000,Second Owner,PB15D8465,Yes,No,Mahindra Scorpio 2010,5750
Renault,Triber,2015,2015,119041,110000,Manual,Diesel,1200,Second Owner,KA11D3173,Yes,Yes,Renault Triber 2015,5500
Hyundai,Elantra,2019,2019,41116,225000,Automatic,CNG,1200,Second Owner,GJ19A9107,Yes,No,Hyundai Elantra 2019,11250
Toyota,Camry,2015,2015,141384,250000,Manual,Petrol,2500,Second Owner,WB01D1585,Yes,Yes,Toyota Camry 2015,12500
Ford,Endeavour,2014,2014,83212,180000,Automatic,Diesel,1400,Second Owner,KA02B9316,Yes,No,Ford Endeavour 2014,9000
Volkswagen,Passat,2010,2010,183826,100000,Manual,Petrol,2000,First Owner,GJ13C4918,No,Yes,Volkswagen Passat 2010,5000
Ford,Aspire,2018,2018,94359,305000,Manual,Electric,1400,First Owner,HR03C3460,Yes,No,Ford Aspire 2018,15250
Honda,Amaze,2011,2011,277250,90000,Manual,Petrol,1400,Second Owner,TN17A5078,Yes,No,Honda Amaze 2011,4500
Volkswagen,Passat,2023,2023,22769,635000,Manual,Diesel,2000,First Owner,MH07A4672,Yes,Yes,Volkswagen Passat 2023,31750
Maruti,Wagon R,2019,2019,58628,185000,Manual,Petrol,800,First Owner,RJ01A5823,No,Yes,Maruti Wagon R 2019,9250
Renault,Kwid,2013,2013,167605,80000,Manual,Petrol,1200,Third Owner,HR16D3148,Yes,Yes,Renault Kwid 2013,4000
Tata,Altroz,2020,2020,79909,260000,Manual,Petrol,1500,First Owner,WB05C5626,Yes,Yes,Tata Altroz 2020,13000
Maruti,Alto,2014,2014,54740,95000,Manual,Diesel,800,Third Owner,HR03D6427,No,No,Maruti Alto 2014,4750
Tata,Tiago,2015,2015,97104,125000,Manual,Petrol,1400,Second Owner,GJ06D5243,Yes,No,Tata Tiago 2015,6250
Kia,Sonet,2016,2016,91092,300000,Manual,Electric,2500,Third Owner,PB02B6680,No,Yes,Kia Sonet 2016,15000
Renault,Duster,2021,2021,42115,250000,Manual,Petrol,1000,First Owner,DL16D7273,Yes,No,Renault Duster 2021,12500
Renault,Duster,2013,2013,57527,90000,Manual,Petrol,800,First Owner,MH12D6365,Yes,Yes,Renault Duster 2013,4500
Honda,CR-V,2013,2013,171947,125000,Manual,Diesel,1500,Third Owner,AP05A4342,Yes,Yes,Honda CR-V 2013,6250
Renault,Lodgy,2018,2018,116203,160000,Manual,Electric,800,Second Owner,WB06D4309,Yes,No,Renault Lodgy 2018,8000
Honda,CR-V,2012,2012,119722,115000,Manual,Petrol,1400,Second Owner,TN18A1018,No,No,Honda CR-V 2012,5750
Renault,Lodgy,2012,2012,132591,80000,Manual,Petrol,800,First Owner,TN10A6127,No,Yes,Renault Lodgy 2012,4000
Mahindra,Scorpio,2014,2014,118005,210000,Automatic,CNG,2000,Second Owner,DL06B2269,No,Yes,Mahindra Scorpio 2014,10500
Kia,Sonet,2010,2010,144979,135000,Manual,Electric,2200,Second Owner,AP07D9992,Yes,Yes,Kia Sonet 2010,6750
Kia,Carnival,2019,2019,109953,410000,Automatic,Petrol,2500,Second Owner,UP08B9534,Yes,Yes,Kia Carnival 2019,20500
Toyota,Fortuner,2011,2011,151182,170000,Manual,Diesel,2500,Second Owner,RJ08A2565,Yes,Yes,Toyota Fortuner 2011,8500
Hyundai,Grand i10,2019,2019,83813,235000,Manual,Diesel,1600,Second Owner,KA16A5887,Yes,Yes,Hyundai Grand i10 2019,11750
Toyota,Fortuner,2023,2023,20357,900000,Automatic,Diesel,2200,First Owner,WB02C2131,No,Yes,Toyota Fortuner 2023,45000
Hyundai,Elantra,2014,2014,177326,125000,Manual,Diesel,1600,Third Owner,AP13A3892,Yes,Yes,Hyundai Elantra 2014,6250
Renault,Captur,2012,2012,105577,70000,Manual,Petrol,800,Second Owner,AP16A7380,Yes,No,Renault Captur 2012,3500
Tata,Punch,2014,2014,60963,115000,Manual,Diesel,1200,Third Owner,TS03A1877,Yes,Yes,Tata Punch 2014,5750
Kia,Sonet,2020,2020,58838,395000,Manual,Diesel,1800,Third Owner,KA10C7520,Yes,Yes,Kia Sonet 2020,19750
Mahindra,Thar,2019,2019,108856,305000,Manual,Petrol,1800,Second Owner,UP18C5002,Yes,No,Mahindra Thar 2019,15250
Tata,Tiago,2018,2018,70626,180000,Manual,Petrol,1600,First Owner,HR01C3911,Yes,Yes,Tata Tiago 2018,9000
Honda,CR-V,2019,2019,95499,300000,Automatic,Petrol,1600,Second Owner,MH17D4815,Yes,Yes,Honda CR-V 2019,15000
Renault,Triber,2020,2020,77847,220000,Manual,Diesel,1000,Second Owner,TN16D5573,Yes,No,Renault Triber 2020,11000
Mahindra,Scorpio,2018,2018,103400,425000,Automatic,Diesel,2000,First Owner,WB16A8060,Yes,Yes,Mahindra Scorpio 2018,21250
Hyundai,Santro,2023,2023,39200,390000,Manual,Petrol,1500,First Owner,TN02B7468,Yes,Yes,Hyundai Santro 2023,19500
Ford,Freestyle,2019,2019,113807,305000,Automatic,Diesel,1600,First Owner,DL07B9276,No,Yes,Ford Freestyle 2019,15250
Kia,Seltos,2023,2023,39212,605000,Manual,Petrol,2000,First Owner,RJ01B7364,No,No,Kia Seltos 2023,30250
Mahindra,XUV500,2010,2010,183515,150000,Automatic,Electric,2500,Second Owner,TN06B9347,Yes,Yes,Mahindra XUV500 2010,7500
Volkswagen,Polo,2012,2012,158616,135000,Manual,Diesel,1800,Second Owner,GJ12A5052,Yes,No,Volkswagen Polo 2012,6750
Toyota,Camry,2010,2010,185521,130000,Manual,Diesel,1800,Second Owner,KA17A6585,Yes,Yes,Toyota Camry 2010,6500
Tata,Tiago,2013,2013,264351,75000,Manual,Petrol,1200,Second Owner,HR19D9720,No,No,Tata Tiago 2013,3750
Maruti,Ertiga,2021,2021,40338,245000,Manual,CNG,1200,First Owner,DL13A2545,Yes,Yes,Maruti Ertiga 2021,12250
Mahindra,Scorpio,2023,2023,23514,655000,Manual,Diesel,2200,First Owner,TS02C6027,Yes,Yes,Mahindra Scorpio 2023,32750
Volkswagen,Vento,2017,2017,65757,250000,Automatic,Petrol,2500,Third Owner,MH11B5911,No,Yes,Volkswagen Vento 2017,12500
Renault,Kwid,2010,2010,185564,70000,Manual,Electric,1000,Second Owner,HR15B3064,Yes,No,Renault Kwid 2010,3500
Ford,Figo,2015,2015,133181,165000,Manual,Diesel,1500,First Owner,MH05B7082,No,No,Ford Figo 2015,8250
Maruti,Ertiga,2022,2022,23970,345000,Automatic,Petrol,1200,First Owner,HR09C4557,No,No,Maruti Ertiga 2022,17250
Volkswagen,Polo,2017,2017,74404,235000,Manual,Diesel,2500,Third Owner,PB06A6360,Yes,No,Volkswagen Polo 2017,11750
Tata,Altroz,2013,2013,153751,105000,Manual,Diesel,1400,Second Owner,HR12D2036,Yes,No,Tata Altroz 2013,5250
Renault,Duster,2010,2010,91596,55000,Manual,Petrol,800,Second Owner,GJ10B6235,Yes,Yes,Renault Duster 2010,2750
Ford,Freestyle,2011,2011,143578,90000,Manual,Petrol,1600,Third Owner,PB06A4990,Yes,No,Ford Freestyle 2011,4500
Mahindra,XUV300,2018,2018,68760,370000,Manual,Diesel,2500,First Owner,AP07B6285,Yes,No,Mahindra XUV300 2018,18500
Kia,Carnival,2019,2019,64265,365000,Manual,CNG,2000,Second Owner,UP16C6956,Yes,No,Kia Carnival 2019,18250
Renault,Lodgy,2020,2020,72365,210000,Manual,Petrol,1000,First Owner,TS05C7881,No,Yes,Renault Lodgy 2020,10500
Honda,City,2022,2022,34537,530000,Automatic,Petrol,1500,First Owner,TN11A2893,Yes,No,Honda City 2022,26500
Mahindra,Marazzo,2011,2011,249106,95000,Manual,Petrol,2200,Third Owner,PB06D2986,Yes,Yes,Mahindra Marazzo 2011,4750
Kia,Seltos,2018,2018,41873,390000,Automatic,Petrol,1800,First Owner,AP17C4055,Yes,Yes,Kia Seltos 2018,19500
Toyota,Camry,2019,2019,52812,480000,Manual,Diesel,2500,First Owner,AP03D5958,No,No,Toyota Camry 2019,24000
Hyundai,Santro,2020,2020,52417,360000,Manual,Electric,1500,First Owner,DL07D9677,Yes,No,Hyundai Santro 2020,18000
Renault,Captur,2017,2017,95094,150000,Manual,Diesel,800,Second Owner,HR16D8532,Yes,Yes,Renault Captur 2017,7500
Renault,Lodgy,2015,2015,120862,135000,Automatic,Diesel,1000,Second Owner,PB13B2564,No,No,Renault Lodgy 2015,6750
Ford,Freestyle,2014,2014,149417,125000,Manual,Petrol,1200,Second Owner,AP01C7985,Yes,Yes,Ford Freestyle 2014,6250
Mahindra,Bolero,2019,2019,105800,450000,Automatic,Diesel,2000,Second Owner,TN07D2235,Yes,Yes,Mahindra Bolero 2019,22500
Tata,Tiago,2023,2023,25880,395000,Manual,Petrol,1500,First Owner,HR13A6577,No,Yes,Tata Tiago 2023,19750
